host_tenure,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price_per_night,minimum_nights,number_of_reviews,number_of_reviews_ly,review_scores_rating,reviews_per_month
Veteran,f,1,t,t,Carabanchel,Entire home/apt,4,1,1,1,96,5,1,1,1,0.06
Veteran,f,14,t,t,Carabanchel,Entire home/apt,2,1,1,1,102,1,1,0,5,1
New,f,1,t,t,Carabanchel,Entire home/apt,2,1,1,1,103,1,1,0,3,1
Established,f,2,t,t,Carabanchel,Entire home/apt,4,1,1,2,108,2,1,0,4,1
Established,f,1,t,t,Carabanchel,Private room,2,1,1,1,114.5,2,1,0,1,0.03
New,f,1,t,t,Carabanchel,Private room,2,1,1,1,115,1,1,0,5,0.04
Established,f,1,t,t,Carabanchel,Entire home/apt,3,1,1,2,120,1,1,0,5,0.04
New,f,1,f,t,Carabanchel,Entire home/apt,1,1,3,3,120,1,1,1,1,0.06
New,f,2,t,t,Carabanchel,Private room,3,1,,2,125,1,1,0,4,1
Veteran,f,2,t,t,Carabanchel,Private room,2,0,1,1,129,15,1,0,5,0.02
Established,f,1,t,t,Carabanchel,Entire home/apt,4,1,2,,131,2,1,0,5,1
Veteran,f,1,t,t,Carabanchel,Entire home/apt,4,1,2,4,139,1,1,0,5,1
Veteran,f,19,t,t,Carabanchel,Entire home/apt,4,1,1,1,140,1,1,0,5,0.33
New,f,1,t,t,Carabanchel,Private room,2,1.5,1,1,140,1,1,0,5,0.03
Veteran,f,25,t,t,Carabanchel,Entire home/apt,4,1,3,3,224.67,3,1,0,5,0.03
Veteran,f,1,t,t,Carabanchel,Private room,2,1,1,1,229,1,1,0,5,0.02
Veteran,f,2,t,t,Carabanchel,Entire home/apt,7,1,4,7,233,7,1,0,2,0.05
Veteran,f,25,t,t,Carabanchel,Entire home/apt,4,1,3,4,240.44,7,1,0,4,0.03
Veteran,f,25,t,t,Carabanchel,Entire home/apt,4,1,3,4,312,3,1,0,1,0.01
Veteran,f,25,t,t,Carabanchel,Entire home/apt,4,1,3,4,316,3,1,0,1,0.01
New,f,1,f,t,Carabanchel,Private room,6,1,2,6,,1,1,0,4,1
Veteran,f,2,t,t,Carabanchel,Private room,1,1,1,1,,1,1,0,4,0.01
Veteran,f,3,t,t,Centro,Entire home/apt,2,1,1,,11.44,61,1,0,5,1
Veteran,f,3,t,t,Centro,Entire home/apt,4,1,1,,15.54,90,1,0,4,0.5
New,f,50,f,t,Centro,Private room,1,2,1,1,19.03,30,1,1,5,0.1
Veteran,f,60,t,t,Centro,Private room,1,1,1,1,19.38,30,1,0,5,0.03
Veteran,f,6,t,t,Centro,Private room,2,4,1,1,20.8,5,1,1,5,0.08
New,f,50,f,t,Centro,Private room,1,2,1,1,21.1,30,1,1,4,0.09
Veteran,f,60,t,t,Centro,Private room,1,2,1,1,21.32,30,1,1,5,0.1
New,f,50,f,t,Centro,Private room,1,2,1,1,22.13,30,1,0,5,0.57
Veteran,f,2,t,t,Centro,Entire home/apt,1,1,1,1,23.74,30,1,0,5,0.01
Veteran,f,60,t,t,Centro,Private room,1,1,1,1,23.74,30,1,0,5,0.03
New,f,50,f,t,Centro,Private room,1,2,1,1,24.37,30,1,0,4,0.68
New,f,50,f,t,Centro,Private room,1,2,1,1,24.55,20,1,1,4,0.11
New,f,174,t,t,Centro,Private room,1,2,1,1,26.48,21,1,0,1,0.04
New,f,174,t,t,Centro,Private room,1,2,1,1,26.48,21,1,0,5,0.04
Veteran,f,60,t,t,Centro,Private room,1,1,1,1,27.13,30,1,0,5,0.03
New,f,50,f,t,Centro,Private room,1,2,1,1,27.67,30,1,1,5,0.1
New,f,50,f,t,Centro,Private room,1,2,1,1,29.87,30,1,0,4,0.67
Veteran,f,5,t,f,Centro,Private room,1,2,2,1,30.17,30,1,0,5,0.04
New,f,50,f,t,Centro,Private room,1,2,1,1,30.85,20,1,0,5,0.68
Veteran,f,2,t,t,Centro,Private room,1,2,1,1,31,3,1,1,3,0.09
New,f,50,f,t,Centro,Private room,1,2,1,1,31,30,1,0,4,0.59
New,f,141,t,t,Centro,Private room,1,2,1,1,31.88,31,1,0,4,0.04
New,f,194,t,t,Centro,Entire home/apt,3,1,1,,32.15,60,1,0,1,0.03
New,f,141,t,t,Centro,Private room,1,1,1,1,32.4,30,1,0,4,0.04
New,f,50,f,t,Centro,Private room,1,2,1,1,33.8,30,1,0,5,0.04
New,f,50,f,t,Centro,Private room,1,2,1,1,33.97,30,1,0,5,0.04
New,f,141,t,t,Centro,Private room,1,1,1,1,34.07,31,1,0,5,0.79
New,f,141,t,t,Centro,Private room,2,1,1,1,35.93,31,1,0,5,0.36
New,f,50,f,t,Centro,Private room,1,2,1,1,36.55,20,1,1,5,0.1
New,f,141,t,t,Centro,Private room,1,1,1,1,37.75,31,1,0,5,0.04
New,f,141,t,t,Centro,Private room,1,2,1,1,38.37,31,1,1,2,0.09
New,f,174,t,t,Centro,Private room,1,1,1,1,38.47,15,1,0,4,0.04
New,f,174,t,t,Centro,Private room,1,2,1,1,39,15,1,0,1,0.04
New,f,174,t,t,Centro,Private room,1,1,1,1,39.33,15,1,0,4,0.04
New,f,50,f,t,Centro,Private room,1,1,1,1,39.4,20,1,1,4,0.1
New,f,141,t,t,Centro,Private room,1,2,1,1,39.43,31,1,1,3,0.09
New,f,174,t,t,Centro,Private room,1,1,1,1,40,13,1,0,3,0.04
New,f,141,t,t,Centro,Private room,1,1,1,1,40.32,31,1,0,5,1
New,f,50,f,t,Centro,Private room,1,2,1,1,41.13,15,1,1,5,0.1
Established,f,281,t,t,Centro,Private room,2,1,1,1,41.27,32,1,0,1,0.67
New,f,141,t,t,Centro,Private room,1,2,1,1,41.5,30,1,1,5,0.08
New,f,1,t,t,Centro,Entire home/apt,4,2,2,,43.19,50,1,0,5,0.25
New,f,1,f,t,Centro,Private room,1,1,1,1,43.67,3,1,0,5,1
New,f,1,t,t,Centro,Entire home/apt,2,1,1,1,44.8,30,1,0,5,0.28
Established,f,281,t,t,Centro,Private room,2,1,1,1,46.81,32,1,1,5,0.09
New,f,141,t,t,Centro,Private room,2,1,1,1,47.48,31,1,0,5,0.64
Established,f,100,t,t,Centro,Entire home/apt,2,1,1,1,47.97,30,1,0,5,0.03
Veteran,f,26,t,t,Centro,Private room,1,1,1,1,48.22,30,1,0,3,0.03
Established,f,281,t,t,Centro,Private room,2,1,1,1,48.66,32,1,0,4,0.21
New,f,5,f,t,Centro,Entire home/apt,2,1,,2,48.87,32,1,1,5,0.08
Veteran,f,5,t,t,Centro,Private room,1,1,1,1,49.38,50,1,0,5,0.01
Veteran,f,5,t,t,Centro,Private room,2,0.5,1,1,49.42,30,1,1,4,0.07
New,f,1,t,t,Centro,Private room,2,1,1,1,52.33,3,1,0,5,0.03
Veteran,f,8,t,t,Centro,Private room,2,1,1,1,54,1,1,1,2,0.12
New,f,1,t,t,Centro,Entire home/apt,6,2,2,2,54.69,31,1,0,5,0.29
Established,f,281,t,t,Centro,Private room,2,1,1,1,55.13,32,1,1,4,0.15
Veteran,f,26,t,t,Centro,Private room,1,1,1,1,55.17,30,1,0,5,1
Veteran,f,45,t,t,Centro,Entire home/apt,2,1,1,1,55.99,7,1,0,5,1
Veteran,f,2,t,t,Centro,Entire home/apt,2,1,1,1,56.65,32,1,0,5,0.03
