gvkey,ticker,company,fyear,sector,total_assets,sales,price,roa,op_margin,leverage,tobins_q,rd_intensity,sales_growth,board_size,n_women_board,pct_women_board,avg_board_tenure,n_exec,pct_women_exec,ceo_duality,esg_score,esg_combined,esg_controversies,env_pillar,soc_pillar,gov_pillar
001690,AAPL,APPLE INC,2025,Information Technology,359241.0,416161.0,254.63,0.3118,0.3197,0.3128,11.266,0.083,0.0643,9.0,4.0,0.4444,22.6551,6.0,0.3333,0.0,0.7098,0.3649,0.02,0.6716,0.6263,0.8906
003144,KO,COCA-COLA CO,2025,Consumer Staples,104816.0,47941.0,69.91,0.125,0.3119,0.4504,3.5624,,0.0187,12.0,6.0,0.5,4.2692,5.0,0.2,1.0,0.6712,0.3615,0.0517,0.478,0.78,0.703
003851,DAL,DELTA AIR LINES INC,2025,Industrials,81317.0,63364.0,69.4,0.0615,0.0919,0.2493,1.301,,0.0279,15.0,4.0,0.2667,13.5244,5.0,0.0,0.0,0.4888,0.4888,1.0,0.3848,0.6408,0.3235
004517,NEE,NEXTERA ENERGY INC,2025,Utilities,212721.0,27412.0,80.28,0.0321,0.3021,0.4495,1.5294,,0.1074,14.0,4.0,0.2857,23.5846,7.0,0.1429,1.0,0.7148,0.5489,0.383,0.6513,0.6936,0.8503
006266,JNJ,JOHNSON & JOHNSON,2025,Health Care,199210.0,94193.0,206.95,0.1346,0.2732,0.2406,3.0922,0.1566,0.0605,13.0,5.0,0.3846,14.1627,5.0,0.2,1.0,0.8864,0.4458,0.0052,0.9126,0.9492,0.7733
007906,NKE,NIKE INC  -CL B,2025,Consumer Discretionary,38410.0,46398.0,46.23,0.0809,0.0818,0.2872,2.3979,,0.0019,13.0,4.0,0.3077,15.4501,,,,0.7012,0.362,0.0227,0.8084,0.7658,0.5139
012141,MSFT,MICROSOFT CORP,2025,Information Technology,619003.0,281724.0,497.41,0.1645,0.4562,0.1812,6.4188,0.1153,0.1493,13.0,5.0,0.3846,15.3979,5.0,0.2,1.0,0.8674,0.4412,0.0149,0.7712,0.8221,0.9353
117768,NVDA,NVIDIA CORP,2025,Information Technology,206803.0,215938.0,191.13,0.5806,0.624,0.0552,22.7015,0.0857,0.6547,10.0,3.0,0.3,17.1784,5.0,0.4,0.0,0.7189,0.3915,0.0641,0.6015,0.7174,0.8623
